State	Municipality_of_residence	Sex	Case_classification	year	ew	total
MS	AGUA CLARA	F	CONFIRMADO	2010	1	1
MS	AGUA CLARA	F	CONFIRMADO	2010	2	1
MS	AGUA CLARA	F	CONFIRMADO	2010	5	1
MS	AGUA CLARA	F	CONFIRMADO	2010	7	2
MS	AGUA CLARA	F	CONFIRMADO	2010	8	6
MS	AGUA CLARA	F	CONFIRMADO	2010	9	2
MS	AGUA CLARA	F	CONFIRMADO	2010	11	10
MS	AGUA CLARA	F	CONFIRMADO	2010	12	10
MS	AGUA CLARA	F	CONFIRMADO	2010	13	8
MS	AGUA CLARA	F	CONFIRMADO	2010	14	12
MS	AGUA CLARA	F	CONFIRMADO	2010	15	4
MS	AGUA CLARA	F	CONFIRMADO	2010	16	4
MS	AGUA CLARA	F	CONFIRMADO	2010	17	12
MS	AGUA CLARA	F	CONFIRMADO	2010	18	8
MS	AGUA CLARA	F	CONFIRMADO	2010	19	10
MS	AGUA CLARA	F	CONFIRMADO	2010	20	12
MS	AGUA CLARA	F	CONFIRMADO	2010	21	6
MS	AGUA CLARA	F	CONFIRMADO	2010	22	1
MS	AGUA CLARA	F	CONFIRMADO	2010	23	2
MS	AGUA CLARA	F	CONFIRMADO	2010	24	4
MS	AGUA CLARA	F	CONFIRMADO	2010	25	1
MS	AGUA CLARA	F	CONFIRMADO	2010	26	1
MS	AGUA CLARA	F	CONFIRMADO	2010	27	1
MS	AGUA CLARA	F	CONFIRMADO	2010	31	2
MS	AGUA CLARA	F	CONFIRMADO	2010	34	2
MS	AGUA CLARA	F	CONFIRMADO	2010	51	1
MS	AGUA CLARA	F	CONFIRMADO	2011	17	1
MS	AGUA CLARA	F	CONFIRMADO	2011	20	1
MS	AGUA CLARA	F	CONFIRMADO	2011	25	1
MS	AGUA CLARA	F	CONFIRMADO	2011	26	1
MS	AGUA CLARA	F	CONFIRMADO	2011	37	1
MS	AGUA CLARA	F	CONFIRMADO	2012	10	1
MS	AGUA CLARA	F	CONFIRMADO	2013	3	1
MS	AGUA CLARA	F	CONFIRMADO	2013	4	1
MS	AGUA CLARA	F	CONFIRMADO	2013	5	10
MS	AGUA CLARA	F	CONFIRMADO	2013	6	14
MS	AGUA CLARA	F	CONFIRMADO	2013	7	10
MS	AGUA CLARA	F	CONFIRMADO	2013	8	12
MS	AGUA CLARA	F	CONFIRMADO	2013	9	24
MS	AGUA CLARA	F	CONFIRMADO	2013	10	11
MS	AGUA CLARA	F	CONFIRMADO	2013	11	23
MS	AGUA CLARA	F	CONFIRMADO	2013	12	36
MS	AGUA CLARA	F	CONFIRMADO	2013	13	40
MS	AGUA CLARA	F	CONFIRMADO	2013	14	6
MS	AGUA CLARA	F	CONFIRMADO	2013	15	2
MS	AGUA CLARA	F	CONFIRMADO	2013	17	12
MS	AGUA CLARA	F	CONFIRMADO	2013	18	3
MS	AGUA CLARA	F	CONFIRMADO	2013	20	1
MS	AGUA CLARA	F	CONFIRMADO	2013	44	2
MS	AGUA CLARA	F	CONFIRMADO	2013	50	2
MS	AGUA CLARA	F	CONFIRMADO	2013	51	1
MS	AGUA CLARA	F	CONFIRMADO	2014	1	1
MS	AGUA CLARA	F	CONFIRMADO	2014	17	1
MS	AGUA CLARA	F	CONFIRMADO	2015	3	2
MS	AGUA CLARA	F	CONFIRMADO	2014	18	1
MS	AGUA CLARA	F	CONFIRMADO	2015	5	2
MS	AGUA CLARA	F	CONFIRMADO	2015	6	8
MS	AGUA CLARA	F	CONFIRMADO	2015	7	2
MS	AGUA CLARA	F	CONFIRMADO	2015	8	8
MS	AGUA CLARA	F	CONFIRMADO	2015	9	3
MS	AGUA CLARA	F	CONFIRMADO	2015	10	7
MS	AGUA CLARA	F	CONFIRMADO	2015	11	4
MS	AGUA CLARA	F	CONFIRMADO	2015	13	1
MS	AGUA CLARA	F	CONFIRMADO	2017	4	1
MS	AGUA CLARA	F	CONFIRMADO	2017	13	1
MS	AGUA CLARA	F	CONFIRMADO	2017	14	1
MS	AGUA CLARA	F	CONFIRMADO	2018	46	1
MS	AGUA CLARA	F	CONFIRMADO	2018	47	1
MS	AGUA CLARA	F	CONFIRMADO	2018	52	1
