ANO_SEMANA_EPIDEMIOLOGICA	SEMANA_EPIDEMIOLOGICA	PACIENTE_UF	SOROTIPO	TOTAL
2011	3	Mato Grosso do Sul	Dengue 1	1
2011	4	Mato Grosso do Sul	Dengue 1	2
2012	4	Mato Grosso do Sul	Dengue 1	2
2012	5	Mato Grosso do Sul	Dengue 1	1
2012	6	Mato Grosso do Sul	Dengue 1	1
2012	7	Mato Grosso do Sul	Dengue 1	2
2012	11	Mato Grosso do Sul	Dengue 1	2
2012	12	Mato Grosso do Sul	Dengue 1	4
2012	13	Mato Grosso do Sul	Dengue 1	1
2012	14	Mato Grosso do Sul	Dengue 1	3
2012	15	Mato Grosso do Sul	Dengue 1	7
2012	16	Mato Grosso do Sul	Dengue 1	4
2012	17	Mato Grosso do Sul	Dengue 1	1
2012	18	Mato Grosso do Sul	Dengue 1	1
2012	19	Mato Grosso do Sul	Dengue 1	1
2012	20	Mato Grosso do Sul	Dengue 1	1
2012	22	Mato Grosso do Sul	Dengue 1	1
2012	24	Mato Grosso do Sul	Dengue 1	2
2012	47	Mato Grosso do Sul	Dengue 1	2
2012	48	Mato Grosso do Sul	Dengue 1	2
2012	49	Mato Grosso do Sul	Dengue 1	2
2012	50	Mato Grosso do Sul	Dengue 1	5
2012	51	Mato Grosso do Sul	Dengue 1	2
2012	52	Mato Grosso do Sul	Dengue 1	2
2013	1	Mato Grosso do Sul	Dengue 1	3
2013	2	Mato Grosso do Sul	Dengue 1	4
2013	3	Mato Grosso do Sul	Dengue 1	10
2013	4	Mato Grosso do Sul	Dengue 1	12
2013	5	Mato Grosso do Sul	Dengue 1	16
2013	6	Mato Grosso do Sul	Dengue 1	11
2013	7	Mato Grosso do Sul	Dengue 1	5
2013	8	Mato Grosso do Sul	Dengue 1	8
2013	9	Mato Grosso do Sul	Dengue 1	7
2013	10	Mato Grosso do Sul	Dengue 1	11
2013	11	Mato Grosso do Sul	Dengue 1	3
2013	12	Mato Grosso do Sul	Dengue 1	4
2013	13	Mato Grosso do Sul	Dengue 1	3
2013	14	Mato Grosso do Sul	Dengue 1	5
2013	15	Mato Grosso do Sul	Dengue 1	2
2013	16	Mato Grosso do Sul	Dengue 1	1
2013	17	Mato Grosso do Sul	Dengue 1	4
2013	20	Mato Grosso do Sul	Dengue 1	2
2013	21	Mato Grosso do Sul	Dengue 1	1
2014	11	Mato Grosso do Sul	Dengue 1	1
2014	14	Mato Grosso do Sul	Dengue 1	1
2014	15	Mato Grosso do Sul	Dengue 1	1
2014	22	Mato Grosso do Sul	Dengue 1	2
2014	24	Mato Grosso do Sul	Dengue 1	2
2014	35	Mato Grosso do Sul	Dengue 1	1
2014	38	Mato Grosso do Sul	Dengue 1	1
2014	42	Mato Grosso do Sul	Dengue 1	2
2014	43	Mato Grosso do Sul	Dengue 1	12
2014	44	Mato Grosso do Sul	Dengue 1	5
2014	45	Mato Grosso do Sul	Dengue 1	1
2014	46	Mato Grosso do Sul	Dengue 1	1
2014	48	Mato Grosso do Sul	Dengue 1	1
2014	50	Mato Grosso do Sul	Dengue 1	2
2015	1	Mato Grosso do Sul	Dengue 1	4
2015	2	Mato Grosso do Sul	Dengue 1	12
2015	3	Mato Grosso do Sul	Dengue 1	34
2015	4	Mato Grosso do Sul	Dengue 1	25
2015	5	Mato Grosso do Sul	Dengue 1	14
2015	6	Mato Grosso do Sul	Dengue 1	23
2015	7	Mato Grosso do Sul	Dengue 1	17
2015	8	Mato Grosso do Sul	Dengue 1	25
2015	9	Mato Grosso do Sul	Dengue 1	36
2015	10	Mato Grosso do Sul	Dengue 1	62
2015	11	Mato Grosso do Sul	Dengue 1	65
2015	12	Mato Grosso do Sul	Dengue 1	62
2015	13	Mato Grosso do Sul	Dengue 1	37
2015	14	Mato Grosso do Sul	Dengue 1	74
2015	15	Mato Grosso do Sul	Dengue 1	68
2015	16	Mato Grosso do Sul	Dengue 1	32
2015	17	Mato Grosso do Sul	Dengue 1	61
2015	18	Mato Grosso do Sul	Dengue 1	56
2015	19	Mato Grosso do Sul	Dengue 1	28
2015	20	Mato Grosso do Sul	Dengue 1	31
2015	21	Mato Grosso do Sul	Dengue 1	37
2015	22	Mato Grosso do Sul	Dengue 1	12
2015	23	Mato Grosso do Sul	Dengue 1	9
2015	24	Mato Grosso do Sul	Dengue 1	16
2015	25	Mato Grosso do Sul	Dengue 1	11
2015	26	Mato Grosso do Sul	Dengue 1	14
2015	27	Mato Grosso do Sul	Dengue 1	10
2015	28	Mato Grosso do Sul	Dengue 1	3
2015	29	Mato Grosso do Sul	Dengue 1	5
2015	30	Mato Grosso do Sul	Dengue 1	6
2015	31	Mato Grosso do Sul	Dengue 1	1
2015	32	Mato Grosso do Sul	Dengue 1	1
2015	33	Mato Grosso do Sul	Dengue 1	2
2015	34	Mato Grosso do Sul	Dengue 1	7
2015	35	Mato Grosso do Sul	Dengue 1	7
2015	36	Mato Grosso do Sul	Dengue 1	3
2015	37	Mato Grosso do Sul	Dengue 1	3
2015	38	Mato Grosso do Sul	Dengue 1	1
2015	39	Mato Grosso do Sul	Dengue 1	2
2015	40	Mato Grosso do Sul	Dengue 1	9
2015	41	Mato Grosso do Sul	Dengue 1	1
2015	42	Mato Grosso do Sul	Dengue 1	9
2015	43	Mato Grosso do Sul	Dengue 1	13
2015	44	Mato Grosso do Sul	Dengue 1	19
2015	45	Mato Grosso do Sul	Dengue 1	21
2015	46	Mato Grosso do Sul	Dengue 1	53
2015	47	Mato Grosso do Sul	Dengue 1	38
2015	48	Mato Grosso do Sul	Dengue 1	90
2015	49	Mato Grosso do Sul	Dengue 1	123
2015	50	Mato Grosso do Sul	Dengue 1	99
2015	51	Mato Grosso do Sul	Dengue 1	61
2015	52	Mato Grosso do Sul	Dengue 1	61
2016	1	Mato Grosso do Sul	Dengue 1	124
2016	2	Mato Grosso do Sul	Dengue 1	94
2016	3	Mato Grosso do Sul	Dengue 1	31
2016	4	Mato Grosso do Sul	Dengue 1	72
2016	5	Mato Grosso do Sul	Dengue 1	44
2016	6	Mato Grosso do Sul	Dengue 1	33
2016	7	Mato Grosso do Sul	Dengue 1	43
2016	8	Mato Grosso do Sul	Dengue 1	28
2016	9	Mato Grosso do Sul	Dengue 1	28
2016	10	Mato Grosso do Sul	Dengue 1	33
2016	11	Mato Grosso do Sul	Dengue 1	28
2016	12	Mato Grosso do Sul	Dengue 1	14
2016	13	Mato Grosso do Sul	Dengue 1	15
2016	14	Mato Grosso do Sul	Dengue 1	29
2016	15	Mato Grosso do Sul	Dengue 1	41
2016	16	Mato Grosso do Sul	Dengue 1	16
2016	17	Mato Grosso do Sul	Dengue 1	21
2016	18	Mato Grosso do Sul	Dengue 1	10
2016	19	Mato Grosso do Sul	Dengue 1	4
2016	20	Mato Grosso do Sul	Dengue 1	1
2016	21	Mato Grosso do Sul	Dengue 1	1
2016	22	Mato Grosso do Sul	Dengue 1	1
2016	25	Mato Grosso do Sul	Dengue 1	1
2016	33	Mato Grosso do Sul	Dengue 1	1
2016	48	Mato Grosso do Sul	Dengue 1	1
2016	51	Mato Grosso do Sul	Dengue 1	1
2017	1	Mato Grosso do Sul	Dengue 1	1
2017	3	Mato Grosso do Sul	Dengue 1	3
2017	4	Mato Grosso do Sul	Dengue 1	4
2017	5	Mato Grosso do Sul	Dengue 1	8
2017	6	Mato Grosso do Sul	Dengue 1	3
