City	Date	Virus
ANGELICA	2022-03-23	DENV1
CAMPO GRANDE	2022-03-26	DENV1
CHAPADAO DO SUL	2022-03-25	DENV1
CHAPADAO DO SUL	2022-03-25	DENV1
CHAPADAO DO SUL	2022-03-26	DENV1
ANGELICA	2022-03-28	DENV1
ANGELICA	2022-03-28	DENV1
TERENOS	2022-03-28	DENV1
SAO GABRIEL DO OESTE	2022-03-28	DENV1
SAO GABRIEL DO OESTE	2022-03-28	DENV1
CORONEL SAPUCAIA	2022-03-22	DENV1
SIDROLANDIA	2022-03-28	DENV1
TRES LAGOAS	2022-03-28	DENV1
IVINHEMA	2022-03-25	DENV1
IVINHEMA	2022-03-24	DENV1
IVINHEMA	2022-03-28	DENV1
ITAPORA	2022-03-30	DENV1
ITAPORA	2022-03-29	DENV1
DOURADOS	2022-03-28	DENV1
DOURADOS	2022-03-30	DENV1
DOURADOS	2022-03-30	DENV1
TACURU	2022-03-31	DENV1
APARECIDA DO TABOADO	2022-03-29	DENV1
APARECIDA DO TABOADO	2022-03-30	DENV1
TERENOS	2022-03-31	DENV1
RIBAS DO RIO PARDO	2022-03-31	DENV1
AMAMBAI	2022-03-28	DENV1
AMAMBAI	2022-03-30	DENV1
RIO VERDE DE MATO GROSSO	2022-03-28	DENV1
CHAPADAO DO SUL	2022-03-30	DENV1
CORONEL SAPUCAIA	2022-03-29	DENV1
CAMPO GRANDE	2022-03-28	DENV1
CAMPO GRANDE	2022-03-29	DENV1
CAMPO GRANDE	2022-03-29	DENV1
CAMPO GRANDE	2022-03-29	DENV1
DOURADINA	2022-04-04	DENV1
PARANHOS	2022-04-04	DENV1
COXIM	2022-04-02	DENV1
TERENOS	2022-04-01	DENV1
RIBAS DO RIO PARDO	2022-04-06	DENV1
CAMPO GRANDE	2022-04-03	DENV1
TACURU	2022-04-01	DENV1
IVINHEMA	2022-04-04	DENV1
IVINHEMA	2022-04-04	DENV1
IVINHEMA	2022-04-05	DENV1
AMAMBAI	2022-04-01	DENV1
AMAMBAI	2022-04-01	DENV1
TRES LAGOAS	2022-04-05	DENV1
TRES LAGOAS	2022-04-05	DENV1
JARDIM	2022-04-05	DENV1
CAMPO GRANDE	2022-04-05	DENV1
