name	date	location	country
DENV-1|PY|NB2|2022-03-22	2022-03-22	Paraguay	Other
DENV-1|PY|NB3|2022-03-28	2022-03-28	Paraguay	Other
DENV-1|PY|NB4|2022-04-04	2022-04-04	Paraguay	Other
DENV-1|PY|NB6|2022-12-04	2022-12-04	Paraguay	Other
DENV-1|PY|NB7|2022-04-19	2022-04-19	Paraguay	Other
DENV-1|PY|NB8|2022-04-18	2022-04-18	Paraguay	Other
DENV-1|PY|NB9|2022-04-21	2022-04-21	Paraguay	Other
DENV-1|PY|NB10|2022-04-22	2022-04-22	Paraguay	Other
DENV-1|PY|NB11|2022-04-21	2022-04-21	Paraguay	Other
DENV-1|PY|NB12|2022-04-20	2022-04-20	Paraguay	Other
DENV-1|PY|NB13|2022-04-20	2022-04-20	Paraguay	Other
DENV-1|PY|NB14|2022-05-04	2022-05-04	Paraguay	Other
DENV-1|PY|NB16|2022-05-04	2022-05-04	Paraguay	Other
DENV-1|PY|NB19|2022-06-05	2022-06-05	Paraguay	Other
DENV-1|PY|NB22|2022-06-14	2022-06-14	Paraguay	Other
OPAS157|BrasiliaDF|2019-04-05	2019-04-05	Midwest-DF	Other
OPAS158|BrasiliaDF|2019-07-18	2019-07-18	Midwest-DF	Other
OPAS131|ValparaisoGO|2019-03-07	2019-03-07	Midwest-GO	Other
OPAS133|ValparaisoGO|2019-04-02	2019-04-02	Midwest-GO	Other
OPAS138|ValparaisoGO|2019-03-29	2019-03-29	Midwest-GO	Other
OPAS132|NovoGamaGO|2019-04-03	2019-04-03	Midwest-GO	Other
OPAS136|CaldasNovasGO|2019-02-15	2019-02-15	Midwest-GO	Other
LIB1|03|DENV1|LACENMS|2022-03-26	2022-03-26	Midwest-MS	MS
LIB1|04|DENV1|LACENMS|2022-03-25	2022-03-25	Midwest-MS	MS
LIB1|06|DENV1|LACENMS|2022-03-26	2022-03-26	Midwest-MS	MS
LIB1|08|DENV1|LACENMS|2022-03-28	2022-03-28	Midwest-MS	MS
LIB1|09|DENV1|LACENMS|2022-03-28	2022-03-28	Midwest-MS	MS
LIB1|11|DENV1|LACENMS|2022-03-28	2022-03-28	Midwest-MS	MS
LIB1|12|DENV1|LACENMS|2022-03-22	2022-03-22	Midwest-MS	MS
LIB1|13|DENV1|LACENMS|2022-03-28	2022-03-28	Midwest-MS	MS
LIB1|17|DENV1|LACENMS|2022-03-28	2022-03-28	Midwest-MS	MS
LIB1|19|DENV1|LACENMS|2022-03-29	2022-03-29	Midwest-MS	MS
LIB1|23|DENV1|LACENMS|2022-03-31	2022-03-31	Midwest-MS	MS
LIB1|24|DENV1|LACENMS|2022-03-29	2022-03-29	Midwest-MS	MS
LIB1|25|DENV1|LACENMS|2022-03-30	2022-03-30	Midwest-MS	MS
LIB1|26|DENV1|LACENMS|2022-03-31	2022-03-31	Midwest-MS	MS
LIB1|32|DENV1|LACENMS|2022-03-29	2022-03-29	Midwest-MS	MS
LIB1|37|DENV1|LACENMS|2022-04-04	2022-04-04	Midwest-MS	MS
